    Time  Press    Temp     Rh    Alt  Speed    Dir   Batt  P.Temp  Dew   S.H.   M.R.     Et    Ozone O3Curr O3Temp   AD1    AD2    AD3    AD4    AD5    AD6
            hPa      °C     %      m    mps    deg      v     °C     °C          g/kg      s      ppb     µA     °C     v      v      v      v      v      v 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
01:33:31 867.17   18.2   26.5   1339    1.7    171    8.5    30.3  -1.4   0.80   3.94  169.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.024
01:33:32 867.49   18.2   26.4   1335    1.5    171    8.5    30.2  -1.4   0.80   3.93  170.4     0.00   0.00    0.0  0.000  0.084  0.015  0.000  0.000  0.024
01:33:34 867.35   18.1   26.3   1337    1.4    182    8.5    30.2  -1.5   0.80   3.90  172.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:35 867.13   18.1   26.3   1339    1.3    188    8.5    30.2  -1.5   0.80   3.90  173.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:36 867.15   18.0   26.2   1339    1.2    192    8.5    30.1  -1.6   0.79   3.85  174.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:37 867.05   18.1   26.3   1340    1.2    192    8.5    30.2  -1.5   0.80   3.89  175.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:38 867.04   18.2   26.3   1340    1.2    191    8.5    30.4  -1.4   0.80   3.93  176.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:39 867.09   18.3   26.3   1339    1.2    189    8.5    30.4  -1.3   0.80   3.95  177.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:42 866.94   18.3   26.3   1341    1.4    176    8.5    30.5  -1.3   0.80   3.95  180.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:43 866.79   18.2   26.4   1342    1.4    171    8.5    30.3  -1.4   0.80   3.92  181.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:44 866.74   18.3   26.6   1343    1.5    164    8.5    30.4  -1.2   0.80   3.99  182.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:45 866.89   18.2   26.3   1341    1.6    170    8.5    30.3  -1.4   0.80   3.92  183.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:46 866.72   18.2   26.3   1343    1.7    170    8.5    30.4  -1.4   0.80   3.93  184.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:47 866.82   18.3   26.2   1342    1.6    169    8.5    30.4  -1.4   0.80   3.93  185.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:48 866.68   18.1   26.1   1343    1.5    171    8.5    30.3  -1.6   0.79   3.88  186.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:49 866.63   18.0   26.2   1344    1.5    171    8.5    30.2  -1.6   0.79   3.86  187.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
01:33:50 866.52   18.2   26.1   1345    1.6    174    8.5    30.4  -1.5   0.80   3.89  188.4     0.00   0.00    0.0  0.000  0.083  0.015  0.000  0.000  0.024
