         Alt       Press        Temp          Rh       Speed        Batt       PTemp         Dew          SH          MR          Et       Ozone      O3Curr      O3Temp         AD1         AD2         AD3         AD4         AD5         AD6    Dir_mode
        1391      863.00       16.60       31.55        3.90        8.10       29.00       -0.35        0.81        4.31      658.40        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      303.50
        1392      862.93       16.60       31.70        4.70        8.10       29.10       -0.20        0.81        4.35      666.40        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      307.00
        1393      862.83       16.50       31.70        3.90        8.10       29.00       -0.30        0.81        4.33      661.90        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      313.50
        1394      862.72       16.60       31.75        4.30        8.10       29.10       -0.25        0.81        4.34      662.40        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      301.00
        1395      862.64       16.60       31.95        4.30        8.10       29.10       -0.15        0.81        4.38      675.30        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      262.00
        1396      862.51       16.54       31.86        4.36        8.10       29.04       -0.24        0.81        4.35      676.52        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      266.44
        1397      862.38       16.55       31.90        4.08        8.10       29.05       -0.20        0.81        4.36      678.05        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      261.14
        1398      862.30       16.56       31.90        4.32        8.10       29.06       -0.24        0.81        4.36      677.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      275.97
        1399      862.22       16.50       31.77        4.10        8.10       29.07       -0.30        0.81        4.33      678.63        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      284.67
        1400      862.11       16.50       31.80        4.90        8.10       29.00       -0.40        0.81        4.31      691.30        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      310.00
        1401      861.96       16.45       31.80        4.85        8.10       29.00       -0.35        0.81        4.31      691.30        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      299.00
